NPI,First_Name,Last_Name,License_Number,Network,Address,City,County,State,Zip_Code ,Phone_Number,Fax_Number,Specialty ,Date_Survey,Time_Survey,Survey_Completed,Urgent_Appointment_Date ,Urgent_Appointment_Time,Urg_Appt_Status,Non_Urgent_Appointment_Date, Non_Urgent_Appointment_Time,Non_Urg_Appt_Status
59-1651561,Jessica,Tate,247-35-8460,KY Medicaid,302 Villa Freeway Suite 862,Bowling Green,Warren,Kentucky,42101,8591131000,8618662191,General Practice,3/18/22,10:30 AM,Yes,3/21/22,8:30 AM,Noncompliant,4/14/22,1:00 PM,Compliant
51-1343891,Lonnie,Beltran,367-44-3461,KY Medicaid,7154 Karen Mountain Suite 180,Frankfort,Franklin,Kentucky,40601,8592342300,8619781100,Internal Medicine,3/8/22,1:30 PM,Yes,3/18/22,8:30 AM,Noncompliant,4/5/22,7:30 AM,Compliant
03-8114306,Alexis,Martin,245-99-4392,KY Medicaid,08512 Gregory Radial Suite 261,Louisville,Jefferson,Kentucky,40202,8593281212,8620362101,Obstetrics/Gynecology,2/28/22,9:00 AM,Yes,3/14/22,1:00 PM,Noncompliant,3/18/22,1:30 PM,Compliant
63-7058342,Frank,Cline,210-23-8964,KY Medicaid,2147 Nicole Pine Suite 047,Bowling Green,Warren,Kentucky,42101,8594642511,8621470100,Family Medicine,3/18/22,10:30 AM,Yes,3/22/22,8:00 AM,Noncompliant,4/8/22,2:00 PM,Compliant
21-6984848,Samantha,Singleton,685-85-6730,KY Medicaid,928 Ray Rue,Covington,Kenton,Kentucky,41011,8595797441,8622364011,Family Medicine,3/15/22,3:00 PM,Yes,3/21/22,10:30 AM,Noncompliant,5/16/22,1:30 PM,Noncompliant
1407986524,FENTRESS,DARREN,741-59-8270,KY Medicaid,2066 Roberto Centers,Lexington,Fayette,Kentucky,40509,8596599400,8623621100,Obstetrics/Gynecology,3/15/22,2:30 PM,Yes,3/16/22,7:00 AM,Compliant,4/4/22,8:00 AM,Compliant
1417367376,CLEMENTS,JAMES,686-47-6589,KY Medicaid,19878 Warren Manors,Lexington,Fayette,Kentucky,40509,8597862191,8624271212,Obstetrics/Gynecology,3/4/22,10:30 AM,Yes,3/7/22,2:00 PM,Noncompliant,4/13/22,1:30 PM,Noncompliant
31-9458098,Denise,Sims,327-92-3870,KY Medicaid,77959 Martinez Passage Suite 291,Bowling Green,Warren,Kentucky,42101,8598681100,8625855100,Obstetrics/Gynecology,3/7/22,10:30 AM,Yes,3/7/22,8:45 AM,Compliant,3/18/22,1:30 PM,Compliant
1215952544,MOSLEY,FRANCINE,677-64-0227,KY Medicaid,09336 Kelly Creek Suite 541,Owensboro,Daviess,Kentucky,42301,8599662101,8626576421,Pediatrics,3/7/22,2:30 PM,Yes,3/17/22,3:00 PM,Noncompliant,4/14/22,1:30 PM,Noncompliant
1225422041,DESIMONE,SEAN,436-62-1485,KY Medicaid,3027 Clark Dale Suite 674,Louisville,Jefferson,Kentucky,40202,8600870100,8627484401,Family Medicine,2/24/22,8:00 AM,Yes,2/25/22,2:00 PM,Compliant,3/4/22,4:00 PM,Compliant
1225471790,HOWARD,DOUGLAS,829-41-2916,KY Medicaid,1684 Watkins Corner,Louisville,Jefferson,Kentucky,40202,8601264011,8628155240,Family Medicine,3/22/22,4:00 PM,Yes,3/24/22,2:30 PM,Compliant,3/29/22,8:45 AM,Compliant
1235133083,HARDCASTLE,SAMUEL,614-96-4346,KY Medicaid,483 Jason Fords,Covington,Kenton,Kentucky,41011,8602421100,8629466500,Family Medicine,3/2/22,7:30 AM,Yes,3/7/22,8:00 AM,Noncompliant,4/1/22,9:00 AM,Compliant
1235428574,SHOAIB,TANYA,145-78-6157,KY Medicaid,9329 Tracy Roads,Covington,Kenton,Kentucky,41011,8603371212,8630225388,General Practice,3/16/22,8:00 AM,Yes,3/21/22,9:00 AM,Noncompliant,3/25/22,9:00 AM,Compliant
43-0786671,Sarah,Harris,545-21-6499,KY Medicaid,6813 Kristopher Lodge,Covington,Kenton,Kentucky,41011,8604255100,8631824321,Family Medicine,3/14/22,7:30 AM,Yes,3/18/22,2:30 PM,Noncompliant,3/24/22,2:00 PM,Compliant
25-0608267,Ronald,Moore,462-03-9368,KY Medicaid,262 Brian Loop Suite 388,Lexington,Fayette,Kentucky,40509,8605876421,8632872000,Family Medicine,2/24/22,1:30 PM,Yes,3/2/22,9:00 AM,Noncompliant,3/23/22,8:30 AM,Compliant
01-1374897,Julie,Smith,412-50-2137,KY Medicaid,4413 Richards Knoll Suite 199,Covington,Kenton,Kentucky,41011,8606084401,8633424211,Obstetrics/Gynecology,2/28/22,1:00 PM,Yes,3/2/22,8:00 AM,Compliant,5/5/22,1:00 PM,Noncompliant
1003229220,DOLEN,STEFANIE,319-02-8192,KY Medicaid,87566 Charles Underpass,Lexington,Fayette,Kentucky,40509,8607755240,8634823000,Internal Medicine,3/2/22,8:00 AM,Yes,3/11/22,2:00 PM,Noncompliant,3/21/22,8:45 AM,Compliant
1053631804,RAVI,PALLAKI,152-81-1405,KY Medicaid,697 Melendez Squares Suite 338,Lexington,Fayette,Kentucky,40509,8608866500,8635874800,Internal Medicine,3/1/22,1:30 PM,Yes,3/11/22,2:00 PM,Noncompliant,3/18/22,10:30 AM,Compliant
1326362872,HAHN,LILY,307-21-6811,KY Medicaid,58425 Nicholas Avenue,Frankfort,Franklin,Kentucky,40601,8609225388,8636989343,Obstetrics/Gynecology,3/15/22,10:30 AM,Yes,3/16/22,4:00 PM,Compliant,4/21/22,1:30 PM,Noncompliant
1356328066,HONAKER,BRYAN,754-31-7509,KY Medicaid,8340 Carolyn Run Suite 657,Lexington,Fayette,Kentucky,40509,8610324321,8637450300,General Practice,3/7/22,9:00 AM,Yes,3/9/22,8:45 AM,Compliant,3/14/22,1:30 PM,Compliant
73-8648687,Bryan,Newman,376-25-5186,KY Medicaid,474 Tony Crossroad,Owensboro,Daviess,Kentucky,42301,8611172000,8638089451,Pediatrics,3/17/22,8:00 AM,Yes,3/18/22,2:00 PM,Compliant,5/2/22,10:30 AM,Noncompliant
05-0165712,Steven,Baker,750-05-4275,KY Medicaid,00662 Phillips Junctions,Louisville,Jefferson,Kentucky,40202,8612324211,8639775000,Family Medicine,2/24/22,8:00 AM,Yes,2/25/22,8:45 AM,Compliant,2/28/22,8:45 AM,Compliant
1356389829,KOLAR,MARK,176-65-6773,KY Medicaid,6627 Kenneth Expressway Suite 759,Louisville,Jefferson,Kentucky,40207,8613623000,8640852100,General Practice,2/28/22,9:00 AM,Yes,3/4/22,7:00 AM,Noncompliant,4/20/22,2:30 PM,Noncompliant
1396164182,FIELDS,ALECIA,551-33-0834,KY Medicaid,24386 Lisa Wells,Frankfort,Franklin,Kentucky,40601,8614274800,8641278559,General Practice,2/23/22,4:00 PM,Yes,2/23/22,9:00 AM,Compliant,3/10/22,8:45 AM,Compliant
46-4295099,William,Gray,108-79-7239,KY Medicaid,659 Thompson Corners Suite 561,Lexington,Fayette,Kentucky,40509,8615489343,8642251000,Internal Medicine,3/3/22,2:30 PM,Yes,3/9/22,7:00 AM,Noncompliant,4/7/22,2:00 PM,Noncompliant
61-1192451,Susan,Dominguez,623-98-7807,KY Medicaid,38977 Robert Hill Suite 544,Covington,Kenton,Kentucky,41011,8616650300,8643571700,Obstetrics/Gynecology,3/9/22,7:00 AM,Yes,3/14/22,7:30 AM,Noncompliant,3/21/22,1:00 PM,Compliant
02-5052424,Randy,Brock,082-05-3955,KY Medicaid,28928 Reeves Roads,Owensboro,Daviess,Kentucky,42301,8617389451,8644964141,General Practice,2/24/22,7:00 AM,Yes,2/28/22,7:30 AM,Noncompliant,3/22/22,2:30 PM,Compliant
20-8628048,Sonya,Mccarthy,451-97-4893,KY Medicaid,501 Kimberly Spurs,Bowling Green,Warren,Kentucky,42101,8618675000,8645632115,Obstetrics/Gynecology,2/22/22,1:00 PM,Yes,3/10/22,2:30 PM,Noncompliant,3/25/22,8:30 AM,Noncompliant
55-1137589,Amanda,Benjamin,778-06-6337,KY Medicaid,338 Cindy Corner,Covington,Kenton,Kentucky,41011,8619752100,8646795000,Obstetrics/Gynecology,2/28/22,7:00 AM,Yes,3/2/22,8:45 AM,Noncompliant,3/30/22,4:00 PM,Compliant
85-0310040,Jade,James,155-62-5447,KY Medicaid,769 Nicole Lights,Lexington,Fayette,Kentucky,40509,8620378559,8647462195,Pediatrics,3/3/22,8:30 AM,Yes,3/16/22,7:30 AM,Noncompliant,4/4/22,8:30 AM,Noncompliant
38-0110713,James,Hall,368-93-5517,KY Medicaid,651 Brandon Mission,Owensboro,Daviess,Kentucky,42301,8621451000,8648274300,Obstetrics/Gynecology,2/21/22,8:30 AM,Yes,3/21/22,2:00 PM,Noncompliant,3/28/22,10:30 AM,Noncompliant
95-1434241,Nathan,Moran,498-12-9947,KY Medicaid,009 Gamble Trail,Bowling Green,Warren,Kentucky,42101,8622371700,8649925220,Internal Medicine,3/16/22,3:00 PM,Yes,3/18/22,7:30 AM,Compliant,3/31/22,9:00 AM,Compliant
20-0729227,Angela,Martin,719-97-0665,KY Medicaid,1412 Anthony Camp Suite 064,Owensboro,Daviess,Kentucky,42301,8623664141,8650842444,Obstetrics/Gynecology,2/24/22,10:30 AM,Yes,3/14/22,8:00 AM,Noncompliant,4/25/22,10:30 AM,Noncompliant
1063709046,ALVAREZ PICHARDO,ELAINE,146-11-9718,KY Medicaid,3285 Adam Tunnel,Bowling Green,Warren,Kentucky,42101,8624232115,8651835211,General Practice,3/11/22,2:30 PM,Yes,3/14/22,4:00 PM,Noncompliant,5/10/22,8:45 AM,Noncompliant
1063902724,MUJEZINOVIC,SEMIR,873-99-0088,KY Medicaid,228 Vasquez Lock,Bowling Green,Warren,Kentucky,42101,8625895000,8652356401,Obstetrics/Gynecology,3/24/22,8:45 AM,Yes,3/28/22,7:00 AM,Noncompliant,4/4/22,4:00 PM,Compliant
90-9106444,Kimberly,Mills,236-10-8889,KY Medicaid,9074 Edwin Ramp Suite 522,Louisville,Jefferson,Kentucky,40207,8626562195,8653374011,Pediatrics,2/18/22,7:30 AM,Yes,2/24/22,10:30 AM,Noncompliant,3/3/22,8:00 AM,Compliant
59-7678773,April,Cox,818-70-5243,KY Medicaid,67089 Marissa Points,Owensboro,Daviess,Kentucky,42301,8627474300,8654892351,Obstetrics/Gynecology,3/3/22,10:30 AM,Yes,3/4/22,3:00 PM,Compliant,3/21/22,10:30 AM,Compliant
47-2542474,Zachary,Reed,641-41-0962,KY Medicaid,588 Murray Lake Suite 194,Covington,Kenton,Kentucky,41011,8628125220,8655344656,General Practice,3/1/22,8:00 AM,Yes,3/11/22,7:00 AM,Noncompliant,3/28/22,2:00 PM,Compliant
1427030766,WURTH-FRAZIER,KIMBERLY,392-77-8930,KY Medicaid,557 Moore Flat Suite 709,Owensboro,Daviess,Kentucky,42301,8629442444,8656236503,Internal Medicine,3/3/22,8:00 AM,Yes,3/3/22,1:00 PM,Compliant,3/15/22,8:00 AM,Compliant
1003815390,BURNETTE,GEORGE,185-51-0418,KY Medicaid,024 Amy Spur Suite 911,Lexington,Fayette,Kentucky,40509,8630235211,8657885104,General Practice,3/10/22,8:00 AM,Yes,3/15/22,2:00 PM,Noncompliant,3/28/22,9:00 AM,Compliant
1053631101,COMBS ROYSE,ELIZABETH,369-25-1778,KY Medicaid,10495 Monica Villages Suite 871,Louisville,Jefferson,Kentucky,40207,8631856401,8658733186,Obstetrics/Gynecology,2/18/22,3:00 PM,Yes,3/4/22,1:00 PM,Noncompliant,4/18/22,8:30 AM,Noncompliant
80-5032605,Wayne,Reese,571-50-4292,KY Medicaid,1943 Anderson Centers,Covington,Kenton,Kentucky,41011,8632874011,8659512000,Pediatrics,2/24/22,9:00 AM,Yes,3/8/22,1:30 PM,Noncompliant,4/14/22,1:30 PM,Noncompliant
71-7877041,Frank,Shelton,858-27-3074,KY Medicaid,96150 Charlene View,Bowling Green,Warren,Kentucky,42101,8633492351,8660923100,Pediatrics,3/11/22,7:00 AM,Yes,3/14/22,4:00 PM,Noncompliant,3/15/22,2:00 PM,Compliant
56-7322360,Robert,Lee,759-16-0916,KY Medicaid,193 Marshall Wells Suite 043,Louisville,Jefferson,Kentucky,40207,8634844656,8661282299,Obstetrics/Gynecology,2/24/22,10:30 AM,Yes,2/28/22,7:30 AM,Noncompliant,3/25/22,2:00 PM,Compliant
12-2546219,Steven,Cook,670-06-4292,KY Medicaid,676 Brittany Walks,Lexington,Fayette,Kentucky,40509,8635836503,8662233131,Internal Medicine,3/16/22,8:45 AM,Yes,3/21/22,1:00 PM,Noncompliant,5/3/22,2:30 PM,Noncompliant
42-6878937,Stacey,Thornton,024-36-3576,KY Medicaid,621 David Haven,Frankfort,Franklin,Kentucky,40601,8636985104,8663698000,Obstetrics/Gynecology,3/14/22,2:30 PM,Yes,3/14/22,4:00 PM,Compliant,4/4/22,2:30 PM,Compliant
1073517843,LOSEKAMP,CRAIG,187-77-6889,KY Medicaid,8325 Ray Lane Suite 495,Bowling Green,Warren,Kentucky,42101,8637433186,8664314585,Pediatrics,3/16/22,8:30 AM,Yes,3/18/22,1:00 PM,Noncompliant,4/4/22,4:00 PM,Compliant
1073776373,CHOU,SARA,354-84-6698,KY Medicaid,2624 Branch Brooks Suite 703,Bowling Green,Warren,Kentucky,42101,8638012000,8665687411,Internal Medicine,3/18/22,9:00 AM,Yes,3/21/22,7:00 AM,Noncompliant,4/27/22,8:30 AM,Noncompliant
33-9280163,Angela,Hernandez,053-57-2614,KY Medicaid,419 Gomez Spring,Covington,Kenton,Kentucky,41011,8639723100,8666506104,General Practice,2/25/22,4:00 PM,Yes,2/28/22,1:30 PM,Noncompliant,3/16/22,2:30 PM,Compliant
03-4873837,Virginia,Jensen,089-54-5346,KY Medicaid,017 Joshua Trafficway Suite 605,Owensboro,Daviess,Kentucky,42303,8640882299,8667773400,Family Medicine,2/21/22,7:30 AM,Yes,3/18/22,8:45 AM,Noncompliant,4/5/22,3:00 PM,Noncompliant
73-3629738,Rhonda,James,328-79-0717,KY Medicaid,628 Jillian Vista Suite 967,Frankfort,Franklin,Kentucky,40601,8641233131,8668864175,Obstetrics/Gynecology,3/14/22,8:00 AM,Yes,3/16/22,4:00 PM,Noncompliant,4/4/22,4:00 PM,Compliant
32-7231250,Brian,Delgado,558-61-9188,KY Medicaid,939 Lee Haven,Frankfort,Franklin,Kentucky,40601,8642298000,8669977700,Obstetrics/Gynecology,2/23/22,7:00 AM,Yes,3/18/22,1:00 PM,Noncompliant,4/7/22,8:45 AM,Noncompliant
81-9311152,Frederick,Robinson,138-45-6865,KY Medicaid,62509 Brown Isle Suite 087,Covington,Kenton,Kentucky,41012,8643514585,8670131000,Family Medicine,2/22/22,3:00 PM,Yes,3/15/22,8:30 AM,Noncompliant,4/5/22,4:00 PM,Noncompliant
1063494854,PRATER,JEFFERY,611-97-1354,KY Medicaid,7462 Samuel Mountain Suite 796,Louisville,Jefferson,Kentucky,40207,8644987411,8671944753,Obstetrics/Gynecology,3/10/22,9:00 AM,Yes,3/10/22,8:30 AM,Compliant,4/20/22,2:30 PM,Noncompliant
1124521182,BEHRINGER,CHRISTOPHER,657-42-5840,KY Medicaid,7255 Carroll Gardens,Frankfort,Franklin,Kentucky,40601,8645606104,8672679231,Internal Medicine,3/14/22,7:00 AM,Yes,3/16/22,2:30 PM,Noncompliant,5/19/22,7:00 AM,Noncompliant
1285653618,JOHNSON,LARRY,328-21-0750,KY Medicaid,5992 Flynn Square Suite 049,Louisville,Jefferson,Kentucky,40207,8646773400,8673388000,General Practice,3/3/22,1:00 PM,Yes,3/4/22,9:00 AM,Compliant,3/22/22,8:45 AM,Compliant
1326507161,SHELTON,LUCAS,542-18-3068,KY Medicaid,92494 Tara Lock Suite 174,Owensboro,Daviess,Kentucky,42303,8647464175,8674396600,Pediatrics,2/28/22,2:30 PM,Yes,3/2/22,3:00 PM,Noncompliant,5/2/22,8:45 AM,Noncompliant
52-0196662,Adam,Williams,152-19-2293,KY Medicaid,481 Emily Drives Suite 545,Lexington,Fayette,Kentucky,40509,8648277700,8675973600,Obstetrics/Gynecology,3/18/22,8:45 AM,Yes,3/21/22,2:30 PM,Noncompliant,5/18/22,7:30 AM,Noncompliant
38-5984047,Luke,Sanchez,646-68-2093,KY Medicaid,9081 Brown Lake,Frankfort,Franklin,Kentucky,40601,8649931000,8676592409,Pediatrics,3/3/22,2:30 PM,Yes,3/7/22,7:30 AM,Noncompliant,4/13/22,8:00 AM,Noncompliant
1245271436,AVULA,PRAVIN,101-70-4660,KY Medicaid,2047 Watson Center Suite 410,Covington,Kenton,Kentucky,41012,8650844753,8677823215,Obstetrics/Gynecology,3/16/22,10:30 AM,Yes,3/21/22,8:30 AM,Noncompliant,4/22/22,1:00 PM,Noncompliant
1265612618,AMSLER,HAIZIA,085-16-6423,KY Medicaid,291 Erica Oval Suite 745,Covington,Kenton,Kentucky,41012,8651879231,8678568511,Pediatrics,3/16/22,2:30 PM,Yes,3/17/22,1:30 PM,Compliant,3/18/22,8:45 AM,Compliant
73-9728877,Nicholas,Thomas,525-48-5316,KY Medicaid,4625 Gonzalez Crescent,Frankfort,Franklin,Kentucky,40601,8652388000,8679338100,Obstetrics/Gynecology,2/22/22,8:30 AM,Yes,3/16/22,8:30 AM,Noncompliant,3/22/22,3:00 PM,Compliant
91-7726989,Julie,Jenkins,082-97-4040,KY Medicaid,71054 Kimberly Green,Bowling Green,Warren,Kentucky,42101,8653396600,8680614159,Obstetrics/Gynecology,3/9/22,7:00 AM,Yes,3/11/22,3:00 PM,Noncompliant,3/25/22,9:00 AM,Compliant
02-4151385,Alexis,Thomas,352-38-3683,KY Medicaid,682 Knight Lights,Covington,Kenton,Kentucky,41012,8654873600,8681625145,Internal Medicine,3/21/22,8:30 AM,Yes,3/21/22,3:00 PM,Compliant,4/27/22,8:00 AM,Noncompliant
95-8154484,Vincent,Carpenter,223-90-0391,KY Medicaid,218 Steele Lock Suite 346,Frankfort,Franklin,Kentucky,40601,8655392409,8682348240,General Practice,3/2/22,4:00 PM,Yes,3/4/22,9:00 AM,Compliant,4/1/22,8:00 AM,Compliant
67-5050600,Benjamin,Stanton,280-35-2696,KY Medicaid,44705 Caleb Street Suite 343,Louisville,Jefferson,Kentucky,40207,8656223215,8683722800,Obstetrics/Gynecology,3/21/22,2:30 PM,Yes,3/21/22,10:30 AM,Compliant,5/16/22,2:00 PM,Noncompliant
12-1606722,Natalie,Williams,631-92-0183,KY Medicaid,52758 Brown Brooks,Bowling Green,Warren,Kentucky,42101,8657868511,5021121100,Obstetrics/Gynecology,3/7/22,10:30 AM,Yes,3/11/22,1:30 PM,Noncompliant,3/18/22,1:00 PM,Compliant
25-0460586,Julia,Henderson,592-85-9919,KY Medicaid,910 Jackson Freeway,Frankfort,Franklin,Kentucky,40602,8658738100,5022333600,Internal Medicine,2/25/22,8:00 AM,Yes,2/28/22,8:00 AM,Noncompliant,2/28/22,8:45 AM,Compliant
82-5745166,William,Anderson,804-38-5111,KY Medicaid,20474 Trujillo Stream,Covington,Kenton,Kentucky,41012,8659514159,5023254788,Obstetrics/Gynecology,2/23/22,10:30 AM,Yes,3/9/22,3:00 PM,Noncompliant,4/22/22,4:00 PM,Noncompliant
40-7978545,Ariana,Nguyen,699-64-3593,KY Medicaid,5844 Jones Island Suite 669,Covington,Kenton,Kentucky,41012,8660925145,5024605000,Pediatrics,2/28/22,4:00 PM,Yes,3/17/22,1:30 PM,Noncompliant,5/6/22,2:00 PM,Noncompliant
77-0031562,Holly,Bernard,011-54-3444,KY Medicaid,6930 Oliver Wells Suite 547,Covington,Kenton,Kentucky,41012,8661248240,5025792300,Obstetrics/Gynecology,3/11/22,4:00 PM,Yes,3/14/22,3:00 PM,Noncompliant,3/28/22,1:00 PM,Compliant
41-9083719,Amanda,Walters,230-27-9752,KY Medicaid,37136 Weber Road Suite 386,Frankfort,Franklin,Kentucky,40602,8662222800,5026593511,Internal Medicine,3/15/22,10:30 AM,Yes,3/16/22,2:00 PM,Compliant,3/22/22,8:00 AM,Compliant
16-9285026,Anthony,Ross,515-41-8195,KY Medicaid,921 Nguyen Isle Suite 092,Covington,Kenton,Kentucky,41012,8663621100,5027878100,Family Medicine,2/25/22,8:30 AM,Yes,2/28/22,1:00 PM,Noncompliant,3/4/22,7:30 AM,Compliant
05-7233873,Terry,Perry,231-38-6545,KY Medicaid,244 Ortiz Plains Suite 457,Covington,Kenton,Kentucky,41012,8664333600,5028683500,Internal Medicine,2/25/22,2:30 PM,Yes,2/28/22,2:00 PM,Noncompliant,4/1/22,1:30 PM,Noncompliant
74-8211994,Edward,Andrade,393-99-3822,KY Medicaid,436 Butler Knolls,Bowling Green,Warren,Kentucky,42101,8665654788,5029684800,General Practice,3/1/22,7:00 AM,Yes,3/11/22,10:30 AM,Noncompliant,4/21/22,9:00 AM,Noncompliant
81-0903219,Maria,Turner,649-14-1457,KY Medicaid,0679 Burns Lock Suite 271,Frankfort,Franklin,Kentucky,40602,8666505000,5030855281,Pediatrics,2/28/22,3:00 PM,Yes,3/15/22,2:30 PM,Noncompliant,5/10/22,9:00 AM,Noncompliant
26-8475079,Courtney,Estrada,648-94-2803,KY Medicaid,5341 Martha Valleys,Lexington,Fayette,Kentucky,40509,8667792300,5031245441,Family Medicine,3/3/22,1:30 PM,Yes,3/10/22,8:45 AM,Noncompliant,5/3/22,4:00 PM,Noncompliant
77-7724132,William,Pope,706-40-7716,KY Medicaid,3404 John Skyway Suite 987,Bowling Green,Warren,Kentucky,42101,8668893511,5032473051,Pediatrics,3/21/22,1:00 PM,Yes,3/23/22,7:00 AM,Compliant,3/25/22,2:30 PM,Compliant
46-7541701,Amanda,Torres,455-80-7701,KY Medicaid,88502 Lucas Cape Suite 173,Owensboro,Daviess,Kentucky,42303,8669978100,5033375018,General Practice,3/16/22,9:00 AM,Yes,3/18/22,1:30 PM,Noncompliant,3/28/22,2:00 PM,Compliant
54-6280674,Michael,Johnson,038-19-4857,KY Medicaid,4201 Barbara Groves,Owensboro,Daviess,Kentucky,42303,8670183500,5034295311,Obstetrics/Gynecology,3/7/22,10:30 AM,Yes,3/18/22,7:00 AM,Noncompliant,5/19/22,7:00 AM,Noncompliant
94-5410575,Karen,Stewart,183-88-5962,KY Medicaid,7731 Neal Island,Bowling Green,Warren,Kentucky,42101,8671984800,5035876275,Internal Medicine,3/1/22,1:30 PM,Yes,3/2/22,7:30 AM,Compliant,5/5/22,9:00 AM,Noncompliant
48-8877886,Nicole,Robinson,315-29-7020,KY Medicaid,800 Amy Hills Suite 496,Lexington,Fayette,Kentucky,40509,8672655281,5036067000,Internal Medicine,3/3/22,1:00 PM,Yes,3/16/22,9:00 AM,Noncompliant,4/19/22,4:00 PM,Noncompliant
10-8891276,Carlos,White,631-62-3718,KY Medicaid,14198 Dawn Light Suite 785,Lexington,Fayette,Kentucky,40509,8673345441,5037733500,Pediatrics,3/2/22,2:00 PM,Yes,3/18/22,4:00 PM,Noncompliant,3/21/22,4:00 PM,Compliant
06-1697351,Sara,Strickland,126-66-4599,KY Medicaid,0574 Taylor Lodge Suite 212,Frankfort,Franklin,Kentucky,40602,8674373051,5038853561,Pediatrics,3/2/22,9:00 AM,Yes,3/10/22,4:00 PM,Noncompliant,3/21/22,8:45 AM,Compliant
04-6070943,Denise,Price,781-17-2153,KY Medicaid,15053 Courtney Glen Suite 360,Louisville,Jefferson,Kentucky,40207,8675975018,5039266000,Internal Medicine,3/2/22,2:30 PM,Yes,3/11/22,8:45 AM,Noncompliant,5/12/22,2:00 PM,Noncompliant
37-6767806,David,Brown,256-70-9199,KY Medicaid,490 Brown Run Suite 649,Frankfort,Franklin,Kentucky,40602,8676595311,5040306000,Pediatrics,3/9/22,8:00 AM,Yes,3/16/22,2:30 PM,Noncompliant,4/25/22,7:00 AM,Noncompliant
34-0867714,Nicholas,Martinez,170-85-9077,KY Medicaid,94567 Steven Circles Suite 785,Owensboro,Daviess,Kentucky,42303,8677876275,5041122901,Family Medicine,3/9/22,8:30 AM,Yes,3/14/22,7:00 AM,Noncompliant,3/15/22,9:00 AM,Compliant
05-2445827,Kathleen,Smith,550-12-2262,KY Medicaid,607 Hamilton River Suite 409,Bowling Green,Warren,Kentucky,42101,8678567000,5042393131,Obstetrics/Gynecology,3/1/22,7:30 AM,Yes,3/3/22,4:00 PM,Noncompliant,5/6/22,7:30 AM,Noncompliant
85-3501338,Zoe,Curtis,223-53-1247,KY Medicaid,72887 Jane Shoal Suite 425,Frankfort,Franklin,Kentucky,40602,8679333500,5043692342,General Practice,3/3/22,2:30 PM,Yes,3/11/22,7:30 AM,Noncompliant,3/28/22,4:00 PM,Compliant
01-8773288,John,Taylor,527-74-0504,KY Medicaid,61373 Brian Stravenue Suite 022,Lexington,Fayette,Kentucky,40509,8680653561,5044265281,Internal Medicine,2/25/22,9:00 AM,Yes,2/28/22,10:30 AM,Noncompliant,4/1/22,10:30 AM,Noncompliant
24-5657344,Rhonda,Sanchez,452-75-6417,KY Medicaid,66484 Bruce Light,Bowling Green,Warren,Kentucky,42101,8681666000,5045408642,General Practice,2/23/22,4:00 PM,Yes,2/28/22,8:45 AM,Noncompliant,3/14/22,9:00 AM,Compliant
83-4902826,Derek,Bass,333-88-2095,KY Medicaid,035 Christina Meadows,Frankfort,Franklin,Kentucky,40602,8682306000,5046666797,General Practice,2/25/22,1:30 PM,Yes,3/11/22,2:00 PM,Noncompliant,5/2/22,1:00 PM,Noncompliant
03-4442924,Angela,Martinez,647-56-3589,KY Medicaid,906 Jones Streets Suite 394,Lexington,Fayette,Kentucky,40509,8683722901,5047302599,Pediatrics,3/16/22,9:00 AM,Yes,3/18/22,8:30 AM,Compliant,5/16/22,3:00 PM,Noncompliant
03-3604295,Kevin,Calderon,113-05-2664,KY Medicaid,656 Johnson Villages Suite 690,Louisville,Jefferson,Kentucky,40207,5021131000,5048607862,General Practice,3/8/22,7:30 AM,Yes,3/18/22,7:00 AM,Noncompliant,5/5/22,8:45 AM,Noncompliant
30-3601289,Mary,Diaz,632-78-1653,KY Medicaid,622 Hopkins Cliffs Suite 509,Covington,Kenton,Kentucky,41012,5022342300,5049728681,Family Medicine,3/3/22,10:30 AM,Yes,3/9/22,2:30 PM,Noncompliant,4/5/22,4:00 PM,Noncompliant
61-1955981,Scott,Garcia,748-64-5176,KY Medicaid,092 Cole Rest,Owensboro,Daviess,Kentucky,42303,5023281212,5050392662,Internal Medicine,3/1/22,2:30 PM,Yes,3/11/22,2:30 PM,Noncompliant,4/22/22,10:30 AM,Noncompliant
20-9186601,Brad,Johnson,767-53-7124,KY Medicaid,782 Berry Branch Suite 103,Owensboro,Daviess,Kentucky,42303,5024642511,5051408870,Family Medicine,3/21/22,1:00 PM,Yes,3/21/22,4:00 PM,Compliant,4/22/22,10:30 AM,Noncompliant
99-7632451,Rebecca,Rose,391-20-7465,KY Medicaid,26839 Garcia Ports,Frankfort,Franklin,Kentucky,40602,5025797441,5052307264,Pediatrics,2/21/22,2:30 PM,Yes,2/23/22,10:30 AM,Compliant,4/5/22,8:45 AM,Noncompliant
64-7067337,Thomas,Sandoval,033-26-2749,KY Medicaid,55120 Woods Roads Suite 867,Owensboro,Daviess,Kentucky,42303,5026599400,5053662421,Internal Medicine,3/18/22,2:30 PM,Yes,3/21/22,2:30 PM,Noncompliant,4/1/22,2:30 PM,Compliant
99-6459511,Raymond,Turner,653-65-8552,KY Medicaid,961 Sanchez Mall,Owensboro,Daviess,Kentucky,42303,5027862191,5054207371,Obstetrics/Gynecology,2/24/22,7:30 AM,Yes,3/15/22,2:00 PM,Noncompliant,5/16/22,4:00 PM,Noncompliant
